epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3349.91,0.54945,0.32126,0.91998,0.96855,0.94625,0.97063,0.80653,0.64171,0.32333,0.94144,0.000270064,0.000270064,0.000270064
73,3396.45,0.55082,0.32159,0.91708,0.97786,0.94307,0.96784,0.80251,0.64138,0.31664,0.94527,0.000261065,0.000261065,0.000261065
74,3442.84,0.54953,0.31805,0.92974,0.96468,0.94134,0.9682,0.80849,0.63855,0.31541,0.93915,0.000252066,0.000252066,0.000252066
75,3488.92,0.53454,0.30835,0.91874,0.95526,0.95665,0.96778,0.80593,0.63198,0.31596,0.93763,0.000243067,0.000243067,0.000243067
76,3534.84,0.54702,0.31629,0.92309,0.95449,0.95418,0.96814,0.80533,0.62742,0.31074,0.93266,0.000234068,0.000234068,0.000234068
77,3580.69,0.54247,0.3124,0.91921,0.96164,0.95172,0.97099,0.80842,0.6241,0.313,0.9358,0.000225068,0.000225068,0.000225068
78,3626.71,0.52718,0.30866,0.91459,0.96079,0.952,0.96892,0.81546,0.61541,0.30728,0.93036,0.000216069,0.000216069,0.000216069
79,3672.65,0.53707,0.31237,0.92001,0.97205,0.94917,0.96884,0.81472,0.61522,0.30364,0.92839,0.00020707,0.00020707,0.00020707
80,3719.45,0.53083,0.30349,0.91451,0.95921,0.94838,0.97179,0.81447,0.62322,0.30182,0.93777,0.000198071,0.000198071,0.000198071
81,3766.26,0.53156,0.30079,0.91469,0.96473,0.95016,0.98766,0.82361,0.61461,0.29761,0.93349,0.000189072,0.000189072,0.000189072
82,3813.24,0.52522,0.29712,0.91481,0.96459,0.94899,0.97255,0.81843,0.6099,0.30604,0.93038,0.000180073,0.000180073,0.000180073
